"Equipment ID","Equipment Description","Equipment Status","VIN/Serial #","In Service Date","Branch ID","Company","Equipment"
"AD112583","TRUCK TRACTOR SLEEPER","Active","1XPVD09X1AD112583","07/13/2020","ALLLH","SRS Distribution","AD112583 - TRUCK TRACTOR SLEEPER"
"PD785499","TRUCK TRACTOR SLEEPER","Active","1XPBDP9X6PD785499","06/09/2022","BSLDFW","Building Supply Logistics","PD785499 - TRUCK TRACTOR SLEEPER"
"RD648578","TRUCK TRACTOR SLEEPER","Active","1XPBDP9X4RD648578","06/26/2023","BSLDFW","Building Supply Logistics","RD648578 - TRUCK TRACTOR SLEEPER"
"PD785505","TRUCK TRACTOR SLEEPER","Active","1XPBDP9X8PD785505","01/06/2023","BSLDFW","SRS Distribution","PD785505 - TRUCK TRACTOR SLEEPER"
"ND785530","TRUCK TRACTOR SLEEPER","Active","1XPBDP9X0ND785530","11/09/2021","BSLDFW","Building Supply Logistics","ND785530 - TRUCK TRACTOR SLEEPER"
"PD826738","TRUCK TRACTOR SLEEPER","Active","1XPBDP9X7PD826738","03/07/2023","BSLDFW","Building Supply Logistics","PD826738 - TRUCK TRACTOR SLEEPER"
"LJ410128","TRUCK TRACTOR SLEEPER","Active","1XKYDP9XXLJ410128","09/11/2020","BSLDFW","Building Supply Logistics","LJ410128 - TRUCK TRACTOR SLEEPER"
"RD648582","TRUCK TRACTOR SLEEPER","Active","1XPBDP9X6RD648582","02/27/2024","BSLDFW","SRS Distribution","RD648582 - TRUCK TRACTOR SLEEPER"
"PD785500","TRUCK TRACTOR SLEEPER","Active","1XPBDP9X9PD785500","06/09/2022","BSLDFW","Building Supply Logistics","PD785500 - TRUCK TRACTOR SLEEPER"
"PD785501","TRUCK TRACTOR SLEEPER","Active","1XPBDP9X0PD785501","08/03/2022","BSLDFW","Building Supply Logistics","PD785501 - TRUCK TRACTOR SLEEPER"
"PD826731","TRUCK TRACTOR SLEEPER","Active","1XPBDP9X4PD826731","03/07/2023","BSLDFW","Building Supply Logistics","PD826731 - TRUCK TRACTOR SLEEPER"
"LD642366","TRUCK TRACTOR SLEEPER","Active","1XPBDP9X4LD642366","09/01/2021","BSLDFW","Building Supply Logistics","LD642366 - TRUCK TRACTOR SLEEPER"
"LJ410130","TRUCK TRACTOR SLEEPER","Active","1XKYDP9X8LJ410130","10/28/2020","BSLDFW","Building Supply Logistics","LJ410130 - TRUCK TRACTOR SLEEPER"
"KD492313","TRUCK TRACTOR SLEEPER","Active","1XPBDP9X1KD492313","08/02/2022","BSLDFW","Building Supply Logistics","KD492313 - TRUCK TRACTOR SLEEPER"
"RD648580","TRUCK TRACTOR SLEEPER","Active","1XPBDP9X2RD648580","09/14/2023","BSLDFW","Building Supply Logistics","RD648580 - TRUCK TRACTOR SLEEPER"
"PD785506","TRUCK TRACTOR SLEEPER","Active","1XPBDP9XXPD785506","03/16/2023","BSLDFW","Building Supply Logistics","PD785506 - TRUCK TRACTOR SLEEPER"
"RD648581","TRUCK TRACTOR SLEEPER","Active","1XPBDP9X4RD648581","02/23/2024","BSLDFW","SRS Distribution","RD648581 - TRUCK TRACTOR SLEEPER"
"RD648579","TRUCK TRACTOR SLEEPER","Active","1XPBDP9X6RD648579","06/26/2023","BSLDFW","Building Supply Logistics","RD648579 - TRUCK TRACTOR SLEEPER"
"RD608262","TRUCK TRACTOR SLEEPER","Active","1XPBDP9X8RD608262","03/01/2024","BSLW","Building Supply Logistics","RD608262 - TRUCK TRACTOR SLEEPER"
"LJ387039","TRUCK TRACTOR SLEEPER","Active","1XKYDP9X4LJ387039","10/18/2019","BSLW","Building Supply Logistics","LJ387039 - TRUCK TRACTOR SLEEPER"
"RD608264","TRUCK TRACTOR SLEEPER","Active","1XPBDP9X1RD608264","03/01/2024","BSLW","Building Supply Logistics","RD608264 - TRUCK TRACTOR SLEEPER"
"GR483372","TRUCK TRACTOR SLEEPER","Disposed","1XKDD49X6GR483372","10/18/2019","BSLW","Building Supply Logistics","GR483372 - TRUCK TRACTOR SLEEPER"
"LJ414964","TRUCK TRACTOR SLEEPER","Active","1XKYDP9X0LJ414964","02/07/2020","BSLW","Building Supply Logistics","LJ414964 - TRUCK TRACTOR SLEEPER"
"NJ140209","TRUCK TRACTOR SLEEPER","Active","1XKYDP9X3NJ140209","01/19/2022","BSLW","Building Supply Logistics","NJ140209 - TRUCK TRACTOR SLEEPER"
"GR483374","TRUCK TRACTOR SLEEPER","Disposed","1XKDD49XXGR483374","10/18/2019","BSLW","Building Supply Logistics","GR483374 - TRUCK TRACTOR SLEEPER"
"PJ244619","TRUCK TRACTOR SLEEPER","Active","1XKYDP9X1PJ244619","09/22/2022","BSLW","Building Supply Logistics","PJ244619 - TRUCK TRACTOR SLEEPER"
"KJ258152","TRUCK TRACTOR SLEEPER","Active","1XKYDP9X4KJ258152","10/18/2019","BSLW","Building Supply Logistics","KJ258152 - TRUCK TRACTOR SLEEPER"
"LJ414965","TRUCK TRACTOR SLEEPER","Active","1XKYDP9X2LJ414965","01/31/2020","BSLW","Building Supply Logistics","LJ414965 - TRUCK TRACTOR SLEEPER"
"NJ140208","TRUCK TRACTOR SLEEPER","Active","1XKYDP9X1NJ140208","01/19/2022","BSLW","Building Supply Logistics","NJ140208 - TRUCK TRACTOR SLEEPER"
"GR483373","TRUCK TRACTOR SLEEPER","Disposed","1XKDD49X8GR483373","10/18/2019","BSLW","Building Supply Logistics","GR483373 - TRUCK TRACTOR SLEEPER"
"KJ258153","TRUCK TRACTOR SLEEPER","Active","1XKYDP9X6KJ258153","10/18/2019","BSLW","Building Supply Logistics","KJ258153 - TRUCK TRACTOR SLEEPER"
